,228_store_name,232_type_of_store,108_does_the_micro_retailer_has_a_barred_window_,99_does_the_micro_retailer_exhibits_products_outside_,102_does_the_micro_retailer_sells_fresh_products_,184_store_devices,hola_somos_estudiantes_del_tec_de_monterrey_estamos_realiz,le_comento_que_toda_esta_informacin_es_confidencial,233_date_establishment,5_change_store_space_last_year,6_change_employees_average_salary_last_year,20_reviews_finances_monthly,49_inventory_records,18_sales_records,155_sales_registers_used_for,19_tax_id,310_burnout,186_internet_connection,210_sales_channels,189_payment_methods,28_prefered_payment_method,31_different_prices_payment_method,269_cash_discount,270_card_extra_charge,271_card_fee,30_payment_methods_large_purchases,214_customer_relationship_tools,33_credit_to_customers,35_interest_rate,38_average_margin_profits,193_sales_planning_tools,227_agreement_ecommerce_platforms,60_services,77_delivery_timeslots,79_delivery_vehicle,64_comission_services,66_percentaje_services_income,69_why_not_services,311_topups,312_payment_of_utilities,313_home_deliveries,314_reception_delivery_packages,42_willingness_share_inventory_data_suppliers,44_willingness_inventory_management_suppliers,45_willingness_reorder_suppliers,46_willingness_reorder_suppliers_variety,47_willingness_reorder_suppliers_lower_prices,43_willingness_share_sales_data_suppliers,58_willingness_share_sales_data_mse,59_willingness_share_sales_data_mse_better_prices,185_place_orders_suppliers,53_special_conditions_suppliers,278_credit_interest,192_procurement_planning_tools,277_payment_method_suppliers,56_procurement_changes_pandemic,279_changes_procurement_pandemic,157_frequency_organize_shelves,158_charact_organize_products_on_shelves,161_actions_stockouts,162_inventory_extra_space,249_technology_training,250_technology_investment_operations,251_technology_investment_customers,254_technology_roadmap,260_technology_scalable,261_technology_organization,262_technology_serve_customers,263_technology_secure_sales,264_technology_budget,267_technology_investment_customer_preferences,234_willingness_participate_workshop,97_number_of_customers_in_store,268_number_fridges,104_how_many_shelves_does_the_micro_retailer_have,2_current_permanent_employees,4_number_permanent_employees_last_year,103_number_own_fridges,145_number_direct_competitors,24_burnout,272_card_days_receive_money,276_expected_days_informal_credit,36_credit_default_rate,315_frequency_topups,316_frequency_utility_bills,317_home_deliveries,62_frequency_only_services,78_number_home_deliveries_week,172_supplier_frequency
80,Frutas y snacks bar,Grocery store (aka. nanostore),no,no,yes,Security cameras,yes,yes,2010-01-05,No cambió,Aumentó 50% o más,yes,"En papel,Mental",En papel,No los uso,no,yes,yes,Página web propia,"Efectivo,Transferencia interbancaria",Efectivo,no,6-10%,0,,Tarjeta de débito y/o crédito,Publicidad,no,no,30%,Ninguna,no,Ninguno,Tarde (12:00 - 7:00 pm),El cliente los recoge en tienda,0,1-5%,no estamos listos ,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Algo de acuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,"En persona,Mensajería instantánea (e.g. WhatsApp)",ninguno,0,Ninguna,Efectivo,yes,"Disminución de la variedad de productos,Disminuir la cantidad del pedido,Disminuir la frecuencia de pedidos",Diariamente,"Categoría (e.g. limpieza, aseo personal, comestibles, lácteos, etc.),Frecuencia de venta,Refrigeración","Ofrecer un producto sustituto,Solicitar tiempo al cliente para conseguir el producto",0,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente en desacuerdo,Totalmente de acuerdo,De acuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,yes,1.2,5.0,9.0,5.0,0.0,2.5,4.0,7.0,1.0,14.2,1.6,9.0,28.5,13.6,10.5,2.0,5.0
81,Polleria Lopez ,Grocery store (aka. nanostore),no,yes,yes,"Analog cash register,Smartphone",no,yes,2010-01-05,No cambió,Aumentó 50% o más,yes,"En papel,Mental",En papel,No los uso,no,yes,yes,Página web propia,"Efectivo,Transferencia interbancaria",Efectivo,no,6-10%,0,,Tarjeta de débito y/o crédito,Publicidad,no,no,30%,Ninguna,no,Ninguno,Tarde (12:00 - 7:00 pm),El cliente los recoge en tienda,0,1-5%,no estamos listos ,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Algo de acuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,"En persona,Mensajería instantánea (e.g. WhatsApp)",ninguno,0,Ninguna,Efectivo,yes,"Disminución de la variedad de productos,Disminuir la cantidad del pedido,Disminuir la frecuencia de pedidos",Diariamente,"Categoría (e.g. limpieza, aseo personal, comestibles, lácteos, etc.),Frecuencia de venta,Refrigeración","Ofrecer un producto sustituto,Solicitar tiempo al cliente para conseguir el producto",0,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,De acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,yes,3.0,3.0,2.0,2.1,1.9,2.5,3.8,4.2,1.0,14.2,1.6,9.0,28.5,13.6,10.5,2.0,3.0
82,Tortilleria de Cinteotl,Dairy products,yes,yes,no,Smartphone,no,yes,2010-01-05,No cambió,Aumentó 50% o más,yes,"En papel,Mental",En papel,No los uso,no,yes,yes,Página web propia,"Efectivo,Transferencia interbancaria",Efectivo,no,6-10%,0,,Tarjeta de débito y/o crédito,Publicidad,no,no,30%,Ninguna,no,Ninguno,Tarde (12:00 - 7:00 pm),El cliente los recoge en tienda,0,1-5%,no estamos listos ,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Algo de acuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,"En persona,Mensajería instantánea (e.g. WhatsApp)",ninguno,0,Ninguna,Efectivo,yes,"Disminución de la variedad de productos,Disminuir la cantidad del pedido,Disminuir la frecuencia de pedidos",Diariamente,"Categoría (e.g. limpieza, aseo personal, comestibles, lácteos, etc.),Frecuencia de venta,Refrigeración","Ofrecer un producto sustituto,Solicitar tiempo al cliente para conseguir el producto",0,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,De acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,yes,1.0,0.0,1.0,2.1,1.9,2.5,3.8,4.2,1.0,14.2,1.6,9.0,28.5,13.6,10.5,2.0,3.0
83,Las Tartas,Micro-restaurant (aka. fondita),no,no,no,"Analog cash register,Security cameras,Smartphone",yes,yes,2014-05-06,Disminuyó 50% o más,Aumentó 50% o más,yes,En papel,En papel,No los uso,yes,yes,yes,"Llamada a Teléfono celular,Página web propia,Redes sociales (e.g. Facebook, Instagram),WhatsApp",Efectivo,Efectivo,no,6-10%,0,,Tarjeta de débito y/o crédito,Publicidad,no,no,50% +,Ninguna,no,Ninguno,Tarde (12:00 - 7:00 pm),El cliente los recoge en tienda,0,1-5%,"Es muy caro,No conozco los servicios,No creo que represente grandes ingresos",Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,"En persona,Mensajería instantánea (e.g. WhatsApp)",ninguno,0,Ninguna,Efectivo,no,"Disminución de la variedad de productos,Disminuir la cantidad del pedido,Disminuir la frecuencia de pedidos",Diariamente,"Categoría (e.g. limpieza, aseo personal, comestibles, lácteos, etc.),Frecuencia de venta,Refrigeración","Ofrecer un producto sustituto,Solicitar tiempo al cliente para conseguir el producto",0,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,yes,2.0,2.0,0.0,2.0,1.9,2.5,3.0,2.0,1.0,14.2,1.6,9.0,28.5,13.6,10.5,2.0,2.0
84,La  Michoacana,Dairy products,no,no,yes,"Analog cash register,Security cameras",no,no,2014-05-06,Disminuyó 50% o más,Aumentó 50% o más,yes,En papel,En papel,No los uso,yes,yes,yes,"Llamada a Teléfono celular,Página web propia,Redes sociales (e.g. Facebook, Instagram),WhatsApp",Efectivo,Efectivo,no,6-10%,0,,Tarjeta de débito y/o crédito,Publicidad,no,no,50% +,Ninguna,no,Ninguno,Tarde (12:00 - 7:00 pm),El cliente los recoge en tienda,0,1-5%,"Es muy caro,No conozco los servicios,No creo que represente grandes ingresos",Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,"En persona,Mensajería instantánea (e.g. WhatsApp)",ninguno,0,Ninguna,Efectivo,no,"Disminución de la variedad de productos,Disminuir la cantidad del pedido,Disminuir la frecuencia de pedidos",Diariamente,"Categoría (e.g. limpieza, aseo personal, comestibles, lácteos, etc.),Frecuencia de venta,Refrigeración","Ofrecer un producto sustituto,Solicitar tiempo al cliente para conseguir el producto",0,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,yes,2.0,9.0,0.0,2.1,1.9,2.5,3.8,4.2,1.0,14.2,1.6,9.0,28.5,13.6,10.5,2.0,3.0
85,Ferretería y Tlapaleria,Ferretería ,no,no,no,"POS system (i.e. computer + bar code scanner + printer),Security cameras",no,no,2014-05-06,Disminuyó 50% o más,Aumentó 50% o más,yes,En papel,En papel,No los uso,yes,yes,yes,"Llamada a Teléfono celular,Página web propia,Redes sociales (e.g. Facebook, Instagram),WhatsApp",Efectivo,Efectivo,no,6-10%,0,,Tarjeta de débito y/o crédito,Publicidad,no,no,50% +,Ninguna,no,Ninguno,Tarde (12:00 - 7:00 pm),El cliente los recoge en tienda,0,1-5%,"Es muy caro,No conozco los servicios,No creo que represente grandes ingresos",Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,"En persona,Mensajería instantánea (e.g. WhatsApp)",ninguno,0,Ninguna,Efectivo,no,"Disminución de la variedad de productos,Disminuir la cantidad del pedido,Disminuir la frecuencia de pedidos",Diariamente,"Categoría (e.g. limpieza, aseo personal, comestibles, lácteos, etc.),Frecuencia de venta,Refrigeración","Ofrecer un producto sustituto,Solicitar tiempo al cliente para conseguir el producto",0,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,yes,2.0,0.0,9.0,2.1,1.9,2.5,3.8,4.2,1.0,14.2,1.6,9.0,28.5,13.6,10.5,2.0,3.0
86,Papelería ,papeleria,no,no,no,"POS system (i.e. computer + bar code scanner + printer),Security cameras,Smartphone",yes,yes,2007-10-16,No cambió,Aumentó 50% o más,yes,En Excel,En Excel,No los uso,yes,yes,yes,WhatsApp,"Efectivo,Tarjeta de débito y/o crédito",Efectivo,no,6-10%,0,,Tarjeta de débito y/o crédito,Publicidad,yes,no,50% +,Excel,no,Ninguno,Tarde (12:00 - 7:00 pm),El cliente los recoge en tienda,0,1-5%,"Es muy caro,No conozco los servicios,No creo que represente grandes ingresos",Totalmente de acuerdo,Totalmente de acuerdo,Totalmente en desacuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,"En persona,Mensajería instantánea (e.g. WhatsApp)",ninguno,0,Ninguna,Efectivo,no,"Disminución de la variedad de productos,Disminuir la cantidad del pedido,Disminuir la frecuencia de pedidos",Semanalmente,Frecuencia de venta,Solicitar tiempo al cliente para conseguir el producto,2%,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,yes,1.0,0.0,3.0,1.0,1.0,2.5,3.0,4.3,1.0,3.0,1.0,9.0,28.5,13.6,10.5,2.0,2.0
87,Tu ropa en buenas manos,compostura de ropa,no,no,no,"Analog cash register,POS system (i.e. computer + bar code scanner + printer),Security cameras",no,no,2007-10-16,No cambió,Aumentó 50% o más,yes,En Excel,En Excel,No los uso,yes,yes,yes,WhatsApp,"Efectivo,Tarjeta de débito y/o crédito",Efectivo,no,6-10%,0,,Tarjeta de débito y/o crédito,Publicidad,yes,no,50% +,Excel,no,Ninguno,Tarde (12:00 - 7:00 pm),El cliente los recoge en tienda,0,1-5%,"Es muy caro,No conozco los servicios,No creo que represente grandes ingresos",Totalmente de acuerdo,Totalmente de acuerdo,Totalmente en desacuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,"En persona,Mensajería instantánea (e.g. WhatsApp)",ninguno,0,Ninguna,Efectivo,no,"Disminución de la variedad de productos,Disminuir la cantidad del pedido,Disminuir la frecuencia de pedidos",Semanalmente,Frecuencia de venta,Solicitar tiempo al cliente para conseguir el producto,2%,Totalmente de acuerdo,Totalmente de acuerdo,De acuerdo,De acuerdo,De acuerdo,Totalmente de acuerdo,De acuerdo,De acuerdo,Ni de acuerdo ni en desacuerdo,De acuerdo,yes,2.0,0.0,0.0,2.1,1.9,2.5,3.8,4.2,1.0,14.2,1.6,9.0,28.5,13.6,10.5,2.0,3.0
88,Cemitas Sandy,Micro-restaurant (aka. fondita),no,no,yes,"Analog cash register,Dataphone (i.e. card payments),Security cameras",no,yes,2007-10-16,No cambió,Aumentó 50% o más,yes,En Excel,En Excel,No los uso,yes,yes,yes,WhatsApp,"Efectivo,Tarjeta de débito y/o crédito",Efectivo,no,6-10%,0,,Tarjeta de débito y/o crédito,Publicidad,yes,no,50% +,Excel,no,Ninguno,Tarde (12:00 - 7:00 pm),El cliente los recoge en tienda,0,1-5%,"Es muy caro,No conozco los servicios,No creo que represente grandes ingresos",Totalmente de acuerdo,Totalmente de acuerdo,Totalmente en desacuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,"En persona,Mensajería instantánea (e.g. WhatsApp)",ninguno,0,Ninguna,Efectivo,no,"Disminución de la variedad de productos,Disminuir la cantidad del pedido,Disminuir la frecuencia de pedidos",Semanalmente,Frecuencia de venta,Solicitar tiempo al cliente para conseguir el producto,2%,Totalmente de acuerdo,Totalmente de acuerdo,De acuerdo,De acuerdo,De acuerdo,Totalmente de acuerdo,De acuerdo,De acuerdo,Ni de acuerdo ni en desacuerdo,De acuerdo,yes,2.0,1.0,0.0,2.1,1.9,2.5,3.8,4.2,1.0,14.2,1.6,9.0,28.5,13.6,10.5,2.0,3.0
89,Tortillería Andrea,Tortillería ,no,no,yes,"Analog cash register,Security cameras",no,yes,2007-10-16,No cambió,Aumentó 50% o más,yes,En Excel,En Excel,No los uso,yes,yes,yes,WhatsApp,"Efectivo,Tarjeta de débito y/o crédito",Efectivo,no,6-10%,0,,Tarjeta de débito y/o crédito,Publicidad,yes,no,50% +,Excel,no,Ninguno,Tarde (12:00 - 7:00 pm),El cliente los recoge en tienda,0,1-5%,"Es muy caro,No conozco los servicios,No creo que represente grandes ingresos",Totalmente de acuerdo,Totalmente de acuerdo,Totalmente en desacuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,"En persona,Mensajería instantánea (e.g. WhatsApp)",ninguno,0,Ninguna,Efectivo,no,"Disminución de la variedad de productos,Disminuir la cantidad del pedido,Disminuir la frecuencia de pedidos",Semanalmente,Frecuencia de venta,Solicitar tiempo al cliente para conseguir el producto,2%,Totalmente de acuerdo,Totalmente de acuerdo,De acuerdo,De acuerdo,De acuerdo,Totalmente de acuerdo,De acuerdo,De acuerdo,Ni de acuerdo ni en desacuerdo,De acuerdo,yes,2.0,1.6,0.0,2.1,1.9,2.5,3.8,4.2,1.0,14.2,1.6,9.0,28.5,13.6,10.5,2.0,3.0
90,Ricototes Tacototes,Micro-restaurant (aka. fondita),no,no,no,"Analog cash register,Dataphone (i.e. card payments)",no,yes,2007-10-16,No cambió,Aumentó 50% o más,yes,En Excel,En Excel,No los uso,yes,yes,yes,WhatsApp,"Efectivo,Tarjeta de débito y/o crédito",Efectivo,no,6-10%,0,,Tarjeta de débito y/o crédito,Publicidad,yes,no,50% +,Excel,no,Ninguno,Tarde (12:00 - 7:00 pm),El cliente los recoge en tienda,0,1-5%,"Es muy caro,No conozco los servicios,No creo que represente grandes ingresos",Totalmente de acuerdo,Totalmente de acuerdo,Totalmente en desacuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,"En persona,Mensajería instantánea (e.g. WhatsApp)",ninguno,0,Ninguna,Efectivo,no,"Disminución de la variedad de productos,Disminuir la cantidad del pedido,Disminuir la frecuencia de pedidos",Semanalmente,Frecuencia de venta,Solicitar tiempo al cliente para conseguir el producto,2%,Totalmente de acuerdo,Totalmente de acuerdo,De acuerdo,De acuerdo,De acuerdo,Totalmente de acuerdo,De acuerdo,De acuerdo,Ni de acuerdo ni en desacuerdo,De acuerdo,yes,2.0,2.0,3.0,2.1,1.9,2.5,3.8,4.2,1.0,14.2,1.6,9.0,28.5,13.6,10.5,2.0,3.0
91,Recauderia La Huerta,Produce (fruits & vegetables),no,yes,yes,Analog cash register,no,yes,2007-10-16,No cambió,Aumentó 50% o más,yes,En Excel,En Excel,No los uso,yes,yes,yes,WhatsApp,"Efectivo,Tarjeta de débito y/o crédito",Efectivo,no,6-10%,0,,Tarjeta de débito y/o crédito,Publicidad,yes,no,50% +,Excel,no,Ninguno,Tarde (12:00 - 7:00 pm),El cliente los recoge en tienda,0,1-5%,"Es muy caro,No conozco los servicios,No creo que represente grandes ingresos",Totalmente de acuerdo,Totalmente de acuerdo,Totalmente en desacuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,"En persona,Mensajería instantánea (e.g. WhatsApp)",ninguno,0,Ninguna,Efectivo,no,"Disminución de la variedad de productos,Disminuir la cantidad del pedido,Disminuir la frecuencia de pedidos",Semanalmente,Frecuencia de venta,Solicitar tiempo al cliente para conseguir el producto,2%,Totalmente de acuerdo,Totalmente de acuerdo,De acuerdo,De acuerdo,De acuerdo,Totalmente de acuerdo,De acuerdo,De acuerdo,Ni de acuerdo ni en desacuerdo,De acuerdo,yes,1.0,0.0,12.0,2.1,1.9,2.5,3.8,4.2,1.0,14.2,1.6,9.0,28.5,13.6,10.5,2.0,3.0
92,Carnicería Campos,Butcher shop,no,no,yes,"Analog cash register,Security cameras",no,yes,2007-10-16,No cambió,Aumentó 50% o más,yes,En Excel,En Excel,No los uso,yes,yes,yes,WhatsApp,"Efectivo,Tarjeta de débito y/o crédito",Efectivo,no,6-10%,0,,Tarjeta de débito y/o crédito,Publicidad,yes,no,50% +,Excel,no,Ninguno,Tarde (12:00 - 7:00 pm),El cliente los recoge en tienda,0,1-5%,"Es muy caro,No conozco los servicios,No creo que represente grandes ingresos",Totalmente de acuerdo,Totalmente de acuerdo,Totalmente en desacuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,"En persona,Mensajería instantánea (e.g. WhatsApp)",ninguno,0,Ninguna,Efectivo,no,"Disminución de la variedad de productos,Disminuir la cantidad del pedido,Disminuir la frecuencia de pedidos",Semanalmente,Frecuencia de venta,Solicitar tiempo al cliente para conseguir el producto,2%,Totalmente de acuerdo,Totalmente de acuerdo,De acuerdo,De acuerdo,De acuerdo,Totalmente de acuerdo,De acuerdo,De acuerdo,Ni de acuerdo ni en desacuerdo,De acuerdo,yes,2.0,1.0,3.0,2.1,1.9,2.5,3.8,4.2,1.0,14.2,1.6,9.0,28.5,13.6,10.5,2.0,3.0
93,Cenita y Tacos El Ron,Micro-restaurant (aka. fondita),no,no,yes,"Analog cash register,Security cameras,Smartphone",yes,yes,2019-10-16,No cambió,No cambió,no,"En Excel,En papel","En Excel,En papel",No los uso,yes,no,no,WhatsApp,Efectivo,Efectivo,no,6-10%,0,,Tarjeta de débito y/o crédito,Publicidad,no,no,50% +,Excel,yes,Ninguno,Tarde (12:00 - 7:00 pm),El cliente los recoge en tienda,0,1-5%,Es muy caro,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,"En persona,Mensajería instantánea (e.g. WhatsApp)",ninguno,0,Ninguna,Efectivo,no,"Disminución de la variedad de productos,Disminuir la cantidad del pedido,Disminuir la frecuencia de pedidos",Nunca,Frecuencia de venta,Solicitar tiempo al cliente para conseguir el producto,2%,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,Ni de acuerdo ni en desacuerdo,De acuerdo,no,2.0,1.0,0.0,2.0,2.0,1.0,3.8,4.2,1.0,14.2,1.6,9.0,28.5,13.6,10.5,2.0,3.0
94,Miscelanea López,Grocery store (aka. nanostore),no,no,yes,Analog cash register,yes,yes,2007-09-07,No cambió,No cambió,no,No lo hago,No lo hago,No los uso,yes,yes,no,WhatsApp,Efectivo,Efectivo,no,6-10%,0,,Tarjeta de débito y/o crédito,Ninguna,no,no,10%,Ninguna,no,Ninguno,Tarde (12:00 - 7:00 pm),El cliente los recoge en tienda,0,1-5%,"No conozco los servicios,No quiero involucrarme con la tecnología",Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Algo en desacuerdo,Ni de acuerdo ni en desacuerdo,Algo de acuerdo,Algo en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Algo en desacuerdo,"En persona,Llamada telefónica",Ninguno,0,Ninguna,Efectivo,no,"Disminución de la variedad de productos,Disminuir la cantidad del pedido,Disminuir la frecuencia de pedidos",Semanalmente,"Categoría (e.g. limpieza, aseo personal, comestibles, lácteos, etc.)",Ofrecer un producto sustituto,0,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Ni de acuerdo ni en desacuerdo,En desacuerdo,En desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,no,0.0,6.0,14.0,0.0,0.0,0.0,3.0,7.0,1.0,14.2,1.6,9.0,28.5,13.6,10.5,2.0,1.0
95,Panadería González,Panaderia,no,no,yes,"Analog cash register,Security cameras",no,yes,2007-09-07,No cambió,No cambió,no,No lo hago,No lo hago,No los uso,yes,yes,no,WhatsApp,Efectivo,Efectivo,no,6-10%,0,,Tarjeta de débito y/o crédito,Ninguna,no,no,10%,Ninguna,no,Ninguno,Tarde (12:00 - 7:00 pm),El cliente los recoge en tienda,0,1-5%,"No conozco los servicios,No quiero involucrarme con la tecnología",Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Algo en desacuerdo,Ni de acuerdo ni en desacuerdo,Algo de acuerdo,Algo en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Algo en desacuerdo,"En persona,Llamada telefónica",Ninguno,0,Ninguna,Efectivo,no,"Disminución de la variedad de productos,Disminuir la cantidad del pedido,Disminuir la frecuencia de pedidos",Semanalmente,"Categoría (e.g. limpieza, aseo personal, comestibles, lácteos, etc.)",Ofrecer un producto sustituto,0,Totalmente en desacuerdo,Totalmente en desacuerdo,De acuerdo,En desacuerdo,De acuerdo,En desacuerdo,De acuerdo,En desacuerdo,En desacuerdo,De acuerdo,no,2.0,0.0,9.0,2.1,1.9,2.5,3.8,4.2,1.0,14.2,1.6,9.0,28.5,13.6,10.5,2.0,3.0
96,Te invito a mi club,Micro-restaurant (aka. fondita),no,no,yes,acepta pagos en efectivo ,yes,yes,2022-05-11,No cambió,No cambió,no,En papel,En papel,No los uso,yes,no,no,conocidos paquetes cerrados,Efectivo,Efectivo,no,6-10%,0,,Tarjeta de débito y/o crédito,Cuaderno,no,no,10%,Ninguna,no,Ninguno,Tarde (12:00 - 7:00 pm),El cliente los recoge en tienda,0,1-5%,Es muy caro,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,"En persona,Llamada telefónica",Ninguno,0,Ninguna,Efectivo,no,"Disminución de la variedad de productos,Disminuir la cantidad del pedido,Disminuir la frecuencia de pedidos",Nunca,"Categoría (e.g. limpieza, aseo personal, comestibles, lácteos, etc.)",Perder la venta,10%,Totalmente en desacuerdo,De acuerdo,De acuerdo,En desacuerdo,De acuerdo,De acuerdo,De acuerdo,En desacuerdo,En desacuerdo,De acuerdo,no,0.0,1.0,0.0,0.0,0.0,1.0,0.0,4.2,1.0,14.2,1.6,9.0,28.5,13.6,10.5,2.0,3.0
