,228_store_name,232_type_of_store,108_does_the_micro_retailer_has_a_barred_window_,99_does_the_micro_retailer_exhibits_products_outside_,102_does_the_micro_retailer_sells_fresh_products_,184_store_devices,5_change_store_space_last_year,6_change_employees_average_salary_last_year,20_reviews_finances_monthly,49_inventory_records,18_sales_records,155_sales_registers_used_for,19_tax_id,310_burnout,186_internet_connection,210_sales_channels,189_payment_methods,28_prefered_payment_method,31_different_prices_payment_method,271_card_fee,273_platform_extra_charge,274_platform_fee,275_platform_days_receive_money,30_payment_methods_large_purchases,214_customer_relationship_tools,33_credit_to_customers,35_interest_rate,193_sales_planning_tools,227_agreement_ecommerce_platforms,60_services,77_delivery_timeslots,79_delivery_vehicle,64_comission_services,69_why_not_services,311_topups,312_payment_of_utilities,313_home_deliveries,314_reception_delivery_packages,42_willingness_share_inventory_data_suppliers,44_willingness_inventory_management_suppliers,45_willingness_reorder_suppliers,46_willingness_reorder_suppliers_variety,47_willingness_reorder_suppliers_lower_prices,43_willingness_share_sales_data_suppliers,58_willingness_share_sales_data_mse,59_willingness_share_sales_data_mse_better_prices,185_place_orders_suppliers,53_special_conditions_suppliers,278_credit_interest,192_procurement_planning_tools,277_payment_method_suppliers,56_procurement_changes_pandemic,279_changes_procurement_pandemic,161_actions_stockouts,162_inventory_extra_space,163_number_high_perishable_products,249_technology_training,250_technology_investment_operations,251_technology_investment_customers,254_technology_roadmap,260_technology_scalable,261_technology_organization,262_technology_serve_customers,263_technology_secure_sales,264_technology_budget,267_technology_investment_customer_preferences,318_shopkeeper_name
34,Cravings,Cafeteria,no,no,no,"Analog cash register,Dataphone (i.e. card payments),Security cameras",No cambió,Aumentó 50% o más,yes,En papel,No lo hago,No los uso,no,yes,yes,"Redes sociales (e.g. Facebook, Instagram),WhatsApp","Efectivo,Tarjeta de débito y/o crédito,Transferencia interbancaria",,,,,,,,Redes sociales,no,,Ninguna,no,Ninguno,,,,No son funcionales para mi empresa,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Algo de acuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Algo de acuerdo,Totalmente de acuerdo,En persona,No,0,Cuaderno,"Efectivo,Tarjeta de débito y/o crédito",yes,Ninguna de las anteriores,Solicitar tiempo al cliente para conseguir el producto,0,20.0,De acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,En desacuerdo,De acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,De acuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Libia
35,Tacos de canasta,Micro-restaurant (aka. fondita),yes,yes,no,Smartphone,Disminuyó 15%,Aumentó 15%,yes,No lo hago,No lo hago,No los uso,no,yes,no,"Redes sociales (e.g. Facebook, Instagram),WhatsApp",Efectivo,,,,,,,,Redes sociales,no,,Ninguna,no,Ninguno,,,,No son funcionales para mi empresa,,,Totalmente de acuerdo,,,,,,,,,,,,,,,,,Perder la venta,0,5.0,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Libia
36,Mis Mar,Micro-restaurant (aka. fondita),yes,no,yes,Smartphone,No cambió,Disminuyó 15%,yes,En papel,En papel,No los uso,yes,yes,yes,Llamada a Teléfono fijo,"Efectivo,Tarjeta de débito y/o crédito",,,,,,,,Ninguna,no,,Cuaderno,no,Ninguno,,,,No conozco los servicios,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Algo de acuerdo,Ni de acuerdo ni en desacuerdo,Totalmente en desacuerdo,Ni de acuerdo ni en desacuerdo,Algo en desacuerdo,Ni de acuerdo ni en desacuerdo,,,,,"En persona,Llamada telefónica","Crédito,Descuento por compras anticipadas",0,Cuaderno,Efectivo,no,,Ofrecer un producto sustituto,20%,0.0,Ni de acuerdo ni en desacuerdo,Totalmente de acuerdo,De acuerdo,De acuerdo,Totalmente de acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,Maria
37,El calcetín perdido ,Planchaduria,yes,no,no,Smartphone,Disminuyó 15%,No cambió,yes,En Excel,Notas ,No los uso,yes,yes,no,Volantes,Efectivo,,,,,,,,Aplicación móvil,no,,Ninguna,no,Ninguno,,,,No creo que represente grandes ingresos,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Algo de acuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Algo de acuerdo,Algo de acuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Algo de acuerdo,Ni de acuerdo ni en desacuerdo,Llamada telefónica,,1-2%,Ninguna,Efectivo,yes,Aumentar la variedad de productos.,Ofrecer un producto sustituto,30%,0.0,Totalmente de acuerdo,De acuerdo,De acuerdo,Ni de acuerdo ni en desacuerdo,De acuerdo,Totalmente de acuerdo,De acuerdo,De acuerdo,Ni de acuerdo ni en desacuerdo,De acuerdo,Maria
38,Ginecología y obstetricia integral,Ginecología,no,no,no,Papel y celular,No cambió,No cambió,no,No lo hago,En papel,No los uso,yes,no,yes,"Llamada a Teléfono celular,Llamada a Teléfono fijo,WhatsApp","Efectivo,Transferencia interbancaria",,no,,,,,,Ninguna,no,,Cuaderno,no,Toma de papa nicolau,,,,No creo que represente grandes ingresos,,,Algo de acuerdo,,Algo en desacuerdo,,,,,,,,,,,,,,,Ofrecer un producto sustituto,,,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente en desacuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,De acuerdo,Ni de acuerdo ni en desacuerdo,De acuerdo,Juan ramon 
39,Salón de eventos,Salón de eventos,yes,yes,no,Smartphone,No cambió,No cambió,yes,En papel,En papel,No los uso,no,no,yes,"Llamada a Teléfono fijo,WhatsApp",Efectivo,,no,,,,,,"Aplicación móvil,De frente",no,,Other,no,Renta de local,,,Ninguno ,No creo que represente grandes ingresos,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Algo en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,"En persona,Llamada telefónica,Mensajería instantánea (e.g. WhatsApp)",,0,Ninguna,,no,,Solicitar tiempo al cliente para conseguir el producto,0,0.0,Ni de acuerdo ni en desacuerdo,De acuerdo,De acuerdo,Totalmente en desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,En desacuerdo,De acuerdo,Juan ramon 
40,Alebrije ,Micro-restaurant (aka. fondita),no,no,yes,Smartphone,No cambió,Disminuyó 25%,yes,En papel,En papel,No los uso,yes,yes,no,"Llamada a Teléfono fijo,WhatsApp",Efectivo,,no,,,,,,Aplicación móvil,no,,Cuaderno,no,Ninguno,,,,Apenas son nuevos ,Totalmente de acuerdo,Algo de acuerdo,Algo de acuerdo,Algo de acuerdo,Algo de acuerdo,Algo en desacuerdo,Algo de acuerdo,Totalmente en desacuerdo,Algo en desacuerdo,Algo de acuerdo,Algo de acuerdo,Algo de acuerdo,"En persona,Llamada telefónica",Ninguno,,Cuaderno,Efectivo,no,,"Descuento,Ofrecer un producto sustituto",50% +,,Totalmente de acuerdo,De acuerdo,De acuerdo,Totalmente en desacuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente en desacuerdo,Totalmente de acuerdo,Bernardo
41,Miscelanea los 3 compadres,Grocery store (aka. nanostore),no,yes,yes,"Security cameras,Smartphone",Disminuyó 25%,No cambió,yes,En papel,En papel,No los uso,yes,yes,yes,"Llamada a Teléfono fijo,WhatsApp",Efectivo,,no,,,,,,Aplicación móvil,no,,Cuaderno,no,Recarga telefónica,,,2%,Apenas son nuevos ,,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Algo de acuerdo,Totalmente en desacuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Algo de acuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,"En persona,Mensajería instantánea (e.g. WhatsApp),Página web del proveedor","Consignación,Crédito,Recompra",0,Cuaderno,"Efectivo,Transferencia interbancaria",yes,"Disminución de la variedad de productos,Disminuir la cantidad del pedido,Disminuir la frecuencia de pedidos","Informar al proveedor,Perder la venta",50% +,0.0,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente en desacuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,De acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Beatriz
42,Carnitas el sabroso ,Micro-restaurant (aka. fondita),no,no,yes,Smartphone,Aumentó 15%,Disminuyó 50% o más,yes,Mentalmente,En papel,No los uso,no,yes,no,Ninguno,Efectivo,,no,,,,,,Ninguna,yes,no,Mental,no,Ninguno,,,,Pura taqueria,Totalmente de acuerdo,Totalmente en desacuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,En persona,Descuento por compras anticipadas,,Mentalmente,Efectivo,yes,"Disminución de la variedad de productos,Disminuir la cantidad del pedido,Disminuir la frecuencia de pedidos",Perder la venta,30%,,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente en desacuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente en desacuerdo,Totalmente de acuerdo,Rosendo
43,La Astorga,Panadería ,yes,no,yes,"Analog cash register,POS system (i.e. computer + bar code scanner + printer),Security cameras",No cambió,Disminuyó 15%,yes,No lo hago,En papel,No los uso,yes,no,no,Ninguno,Efectivo,,no,,,,,,Ninguna,no,,Por temporada de pan,no,Ninguno,,,,Es exclusivo panadería ,Totalmente en desacuerdo,Totalmente en desacuerdo,Ni de acuerdo ni en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,En persona,Ninguna,,Ninguna,Efectivo,no,,Ofrecer un producto sustituto,50% +,9.0,De acuerdo,De acuerdo,De acuerdo,Totalmente en desacuerdo,En desacuerdo,De acuerdo,Ni de acuerdo ni en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,De acuerdo,Rosendo
44,Mi súper Santa Fe ,Grocery store (aka. nanostore),no,no,yes,POS system (i.e. computer + bar code scanner + printer),No cambió,No cambió,no,Software especializado + computadora,Software especializado + computadora,No los uso,yes,no,no,Llamada a Teléfono celular,Efectivo,,no,,,,,,Ninguna,no,,Sobre demanda ,no,Ninguno,,,,No creo que represente grandes ingresos,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Algo de acuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,En persona,Preventa,,Cuaderno,Efectivo,no,,Informar al proveedor,10%,20.0,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,De acuerdo,De acuerdo,Totalmente de acuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Rosendo
45,Abarrotes vinos y licores La ranita,Grocery store (aka. nanostore),no,yes,yes,POS system (i.e. computer + bar code scanner + printer),No cambió,Aumentó 25%,yes,Software especializado + computadora,Software especializado + computadora,No los uso,yes,no,yes,Físico ,"Efectivo,Tarjeta de débito y/o crédito",,no,,,,,,Físico ,no,,Ninguna,no,Ninguno,,,,No quiero involucrarme con la tecnología,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Algo de acuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Algo de acuerdo,Página web del proveedor,"Consignación,Crédito,Descuento por compras anticipadas,Recompra",0,Software especializado,Efectivo,no,,Informar al proveedor,30%,0.0,Totalmente de acuerdo,Totalmente de acuerdo,De acuerdo,Totalmente en desacuerdo,Totalmente de acuerdo,Totalmente en desacuerdo,Totalmente de acuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Rosendo
46,"Abarrotes Frutas y Verduras ""Hernández""",Grocery store (aka. nanostore),no,yes,yes,"Analog cash register,Smartphone",No cambió,Aumentó 25%,yes,Software especializado + computadora,Software especializado + computadora,No los uso,yes,no,yes,Físico ,"Efectivo,Tarjeta de débito y/o crédito",,no,,,,,,Físico ,no,,Ninguna,,Ninguno,,,,No quiero involucrarme con la tecnología,,,Totalmente en desacuerdo,,,,,,,,,,,,,,,,,Informar al proveedor,,,Totalmente de acuerdo,Totalmente de acuerdo,De acuerdo,Totalmente en desacuerdo,Totalmente de acuerdo,Totalmente en desacuerdo,Totalmente de acuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Rosendo
47,Productos de belleza y accesorios ,Dairy products,yes,no,no,"Dataphone (i.e. card payments),Smartphone",No cambió,Disminuyó 25%,no,En papel,En papel,No los uso,yes,yes,yes,"Llamada a Teléfono celular,Redes sociales (e.g. Facebook, Instagram),WhatsApp","Efectivo,Tarjeta de débito y/o crédito,Transferencia interbancaria",,no,,,,,,"Aplicación móvil,Redes sociales",no,,Ninguna,no,Entrega a domicilio,,,ninguna,No quiero involucrarme con la tecnología,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente en desacuerdo,Totalmente de acuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Algo de acuerdo,Totalmente de acuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Algo de acuerdo,"En persona,Llamada telefónica,Mensajería instantánea (e.g. WhatsApp)",Descuento por compras anticipadas,,Cuaderno,"Efectivo,Transferencia interbancaria",yes,"Aumentar la variedad de productos.,Disminuir la cantidad del pedido,Disminuir la frecuencia de pedidos",Solicitar tiempo al cliente para conseguir el producto,10%,0.0,Totalmente en desacuerdo,De acuerdo,De acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente en desacuerdo,De acuerdo,Totalmente en desacuerdo,Totalmente de acuerdo,Ahmed
48,Don porkirio,Micro-restaurant (aka. fondita),no,no,yes,"Security cameras,bocina y ventilador",No cambió,No cambió,yes,En papel,En papel,No los uso,no,yes,no,"Aplicación móvil (e.g. Rappi, Uber Eats),Llamada a Teléfono celular,Redes sociales (e.g. Facebook, Instagram),WhatsApp","Aplicación móvil (e.g. CODI),Efectivo,Tarjeta de débito y/o crédito,Transferencia interbancaria,Trueque (e.g. comercio o intercambio)",,yes,,,,,,"Aplicación móvil,Redes sociales",yes,no,Cuaderno,yes,Entrega a domicilio,,,5%,No quiero involucrarme con la tecnología,Totalmente en desacuerdo,Algo en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Ni de acuerdo ni en desacuerdo,Algo en desacuerdo,Ni de acuerdo ni en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,"En persona,Llamada telefónica,Mensajería instantánea (e.g. WhatsApp)",Consignación,,Cuaderno,Efectivo,no,,"Ofrecer un producto sustituto,Perder la venta",10%,3.0,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente en desacuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente en desacuerdo,Totalmente de acuerdo,Irma 
49,Hules especiales de precisión ,hules,yes,no,no,POS system (i.e. computer + bar code scanner + printer),No cambió,No cambió,yes,En papel,En papel,No los uso,no,yes,no,"Aplicación móvil (e.g. Rappi, Uber Eats),Llamada a Teléfono celular,Redes sociales (e.g. Facebook, Instagram),WhatsApp","Aplicación móvil (e.g. CODI),Efectivo,Tarjeta de débito y/o crédito,Transferencia interbancaria,Trueque (e.g. comercio o intercambio)",,yes,,,,,,"Aplicación móvil,Redes sociales",yes,,Cuaderno,,Entrega a domicilio,,,,No quiero involucrarme con la tecnología,,,Totalmente en desacuerdo,,,,,,,,,,,,,,,,,"Ofrecer un producto sustituto,Perder la venta",,,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente en desacuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente en desacuerdo,Totalmente de acuerdo,Irma 
50,Fraiche,cosmetiquera ,no,no,no,"POS system (i.e. computer + bar code scanner + printer),bocina y pesa",No cambió,Aumentó 15%,yes,Aplicación móvil (i.e. App) + smartphone,Caja registradora (análoga),No los uso,no,no,yes,"Redes sociales (e.g. Facebook, Instagram),WhatsApp","Efectivo,Tarjeta de débito y/o crédito",,no,,,,,,"Aplicación móvil,Redes sociales",no,,Cuaderno,no,Ninguno,,,,No quiero involucrarme con la tecnología,Totalmente de acuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Algo de acuerdo,Totalmente en desacuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Algo de acuerdo,Totalmente de acuerdo,En persona,Descuento por compras anticipadas,3-5%,Cuaderno,Tarjeta de débito y/o crédito,no,,Solicitar tiempo al cliente para conseguir el producto,20%,0.0,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,De acuerdo,Totalmente de acuerdo,De acuerdo,De acuerdo,De acuerdo,Totalmente de acuerdo,De acuerdo,Irma 
51,Restaurant La parrilla del lobo,Cafeteria,no,yes,yes,"Dataphone (i.e. card payments),Smartphone",Aumentó 25%,Aumentó 15%,yes,En papel,En papel,No los uso,no,yes,yes,WhatsApp,"Efectivo,Tarjeta de débito y/o crédito,Transferencia interbancaria",,no,,,,,,Aplicación móvil,yes,no,Cuaderno,no,Entrega a domicilio,,,1%,No quiero involucrarme con la tecnología,Algo en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Algo de acuerdo,Algo en desacuerdo,Llamada telefónica,"Consignación,Crédito",0,"Aplicación móvil,Cuaderno","Efectivo,Tarjeta de débito y/o crédito",no,,Ofrecer un producto sustituto,50% +,5.0,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,De acuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,Irma 
52,Miscelánea la betty,Grocery store (aka. nanostore),yes,no,yes,Smartphone,Aumentó 25%,Aumentó 15%,yes,En papel,En papel,No los uso,no,yes,yes,WhatsApp,"Efectivo,Tarjeta de débito y/o crédito,Transferencia interbancaria",,no,,,,,,Aplicación móvil,yes,,Cuaderno,,Entrega a domicilio,,,,No quiero involucrarme con la tecnología,,,Totalmente en desacuerdo,,,,,,,,,,,,,,,,,Ofrecer un producto sustituto,,,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,De acuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,Irma 
53,Antigüedades San Jorge ,objetos ,no,yes,no,Smartphone,No cambió,Aumentó 15%,yes,En Excel,En Excel,No los uso,yes,yes,no,"Redes sociales (e.g. Facebook, Instagram)","Efectivo,Tarjeta de débito y/o crédito,Transferencia interbancaria",,yes,,,,,,"Aplicación móvil,Redes sociales",no,,Excel,yes,Entrega a domicilio,,,,No quiero involucrarme con la tecnología,,,Totalmente en desacuerdo,,Totalmente en desacuerdo,Totalmente en desacuerdo,Algo en desacuerdo,Algo de acuerdo,,,,,,,,,,,,Solicitar tiempo al cliente para conseguir el producto,20%,,De acuerdo,De acuerdo,Totalmente en desacuerdo,De acuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,Paola 
54,Bazar-Lupita,muebles,no,yes,no,Smartphone,No cambió,Aumentó 15%,yes,En Excel,En Excel,No los uso,yes,yes,no,"Redes sociales (e.g. Facebook, Instagram)","Efectivo,Tarjeta de débito y/o crédito,Transferencia interbancaria",,yes,,,,,,"Aplicación móvil,Redes sociales",no,,Excel,,Entrega a domicilio,,,,No quiero involucrarme con la tecnología,,,Totalmente en desacuerdo,,,,,,,,,,,,,,,,,Solicitar tiempo al cliente para conseguir el producto,,,De acuerdo,De acuerdo,Totalmente en desacuerdo,De acuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,Paola 
55,Nichimtik,Clothing,no,yes,no,Analog cash register,No cambió,No cambió,yes,En Excel,Caja registradora (análoga),No los uso,yes,no,no,Llamada a Teléfono celular,Efectivo,,yes,,,,,,Cuaderno,no,,Cuaderno,no,Ninguno,,,,Es muy caro,Algo en desacuerdo,Algo en desacuerdo,Algo en desacuerdo,Algo en desacuerdo,Algo en desacuerdo,Algo en desacuerdo,Algo en desacuerdo,Algo en desacuerdo,Algo en desacuerdo,Algo en desacuerdo,Algo en desacuerdo,Algo en desacuerdo,En persona,,,Cuaderno,Efectivo,no,,Ofrecer un producto sustituto,20%,0.0,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Paola 
56,Bazar San José ,Handmade products ,yes,no,no,Smartphone,No cambió,No cambió,yes,En Excel,Caja registradora (análoga),No los uso,yes,no,no,Llamada a Teléfono celular,Efectivo,,yes,,,,,,Cuaderno,no,,Cuaderno,,Ninguno,,,,Es muy caro,,,Algo en desacuerdo,,,,,,,,,,,,,,,,,Ofrecer un producto sustituto,,,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Paola 
57,Manos de tierra ,Rock store,yes,no,no,"POS system (i.e. computer + bar code scanner + printer),Smartphone",No cambió,No cambió,yes,En Excel,Caja registradora (análoga),No los uso,yes,no,yes,"Redes sociales (e.g. Facebook, Instagram)","Efectivo,Tarjeta de débito y/o crédito",,yes,,,,,,Cuaderno,no,,"Cuaderno,Excel",no,Ninguno,,,,Es muy caro,,,Algo en desacuerdo,,,,,,,,,,,,,,,,,Solicitar tiempo al cliente para conseguir el producto,0,,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Paola 
58,Barra de café ,ropa,no,yes,no,Analog cash register,No cambió,No cambió,yes,"En Excel,En papel","Caja registradora (análoga),En Excel,En papel",No los uso,yes,no,yes,Página web propia,Tarjeta de débito y/o crédito,Tarjeta de débito y/o crédito,no,,,,,Tarjeta de débito y/o crédito,Redes sociales,no,,Cuaderno,no,Ninguno,,,,Es muy caro,,,Algo en desacuerdo,,Algo en desacuerdo,Algo en desacuerdo,Algo en desacuerdo,Algo en desacuerdo,,,,,,,,,,,,Solicitar tiempo al cliente para conseguir el producto,10%,,Totalmente de acuerdo,De acuerdo,De acuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Fernanda
59,NumismáticaJr,objetos ,no,no,no,Security cameras,No cambió,No cambió,no,En Excel,En Excel,No los uso,yes,no,yes,"Redes sociales (e.g. Facebook, Instagram)","Efectivo,Tarjeta de débito y/o crédito,Transferencia interbancaria",Tarjeta de débito y/o crédito,no,,,,,,Redes sociales,no,,Cuaderno,no,Ninguno,,,,No creo que represente grandes ingresos,,,Algo en desacuerdo,,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,,Totalmente en desacuerdo,,,,,,,,,,Solicitar tiempo al cliente para conseguir el producto,50% +,0.0,Totalmente de acuerdo,De acuerdo,De acuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Rene
60,Talavera Salazar ,Handmade & typical candy store ,yes,no,no,"POS system (i.e. computer + bar code scanner + printer),Smartphone",No cambió,No cambió,yes,En Excel,"Aplicación móvil (i.e. App) + smartphone,Software especializado + computadora",No los uso,no,no,yes,"Redes sociales (e.g. Facebook, Instagram),WhatsApp","Efectivo,Tarjeta de débito y/o crédito,Transferencia interbancaria",Tarjeta de débito y/o crédito,no,,,,,,Aplicación móvil,no,,"Excel,Software especializado",yes,Entrega a domicilio,,,,No creo que represente grandes ingresos,,,Algo en desacuerdo,,Totalmente en desacuerdo,Totalmente en desacuerdo,Algo de acuerdo,Algo de acuerdo,Algo de acuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,,Mensajería instantánea (e.g. WhatsApp),,,,,,,Perder la venta,,,Totalmente de acuerdo,De acuerdo,De acuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Rene
